,Subject no.,C value,scores_train,scores_test
0,1.0,0.1,0.5652173913043478,0.5652173913043478
1,1.0,1.0,0.6778467908902691,0.5840579710144927
2,1.0,5.0,0.8131469979296067,0.5246376811594203
3,2.0,0.1,0.5652173913043478,0.5652173913043478
4,2.0,1.0,0.6718426501035196,0.5956521739130435
5,2.0,5.0,0.8152173913043478,0.6144927536231884
6,3.0,0.1,0.5652173913043478,0.5652173913043478
7,3.0,1.0,0.682712215320911,0.5289855072463768
8,3.0,5.0,0.8139751552795031,0.49420289855072463
9,4.0,0.1,0.5652173913043478,0.5652173913043478
10,4.0,1.0,0.6783643892339545,0.572463768115942
11,4.0,5.0,0.8191511387163561,0.5768115942028985
12,5.0,0.1,0.5652173913043478,0.5652173913043478
13,5.0,1.0,0.6767080745341615,0.5695652173913044
14,5.0,5.0,0.8195652173913044,0.5434782608695652
15,6.0,0.1,0.5652173913043478,0.5652173913043478
16,6.0,1.0,0.6818840579710145,0.572463768115942
17,6.0,5.0,0.8247412008281574,0.5840579710144927
18,7.0,0.1,0.5652173913043478,0.5652173913043478
19,7.0,1.0,0.6755693581780539,0.5826086956521739
20,7.0,5.0,0.8218426501035196,0.5391304347826087
21,8.0,0.1,0.5652173913043478,0.5652173913043478
22,8.0,1.0,0.6799171842650104,0.5811594202898551
23,8.0,5.0,0.8236024844720496,0.5666666666666667
24,9.0,0.1,0.5652173913043478,0.5652173913043478
25,9.0,1.0,0.6765010351966874,0.6217391304347826
26,9.0,5.0,0.8150103519668737,0.6028985507246377
27,10.0,0.1,0.5652173913043478,0.5652173913043478
28,10.0,1.0,0.6728778467908902,0.5768115942028985
29,10.0,5.0,0.812215320910973,0.5565217391304348
30,11.0,0.1,0.5652173913043478,0.5652173913043478
31,11.0,1.0,0.6825051759834369,0.5739130434782609
32,11.0,5.0,0.8270186335403726,0.5420289855072464
33,12.0,0.1,0.5652173913043478,0.5652173913043478
34,12.0,1.0,0.675879917184265,0.572463768115942
35,12.0,5.0,0.813768115942029,0.5695652173913044
36,13.0,0.1,0.5652173913043478,0.5652173913043478
37,13.0,1.0,0.674120082815735,0.5507246376811594
38,13.0,5.0,0.8100414078674948,0.527536231884058
39,14.0,0.1,0.5652173913043478,0.5652173913043478
40,14.0,1.0,0.6747412008281574,0.5782608695652174
41,14.0,5.0,0.8173913043478261,0.572463768115942
42,15.0,0.1,0.5652173913043478,0.5652173913043478
43,15.0,1.0,0.6761904761904762,0.5550724637681159
44,15.0,5.0,0.8164596273291925,0.5318840579710145
